,loss
0,645149.686706543
1,60902.304122924805
2,40580.792083740234
3,34416.33822631836
4,31910.415630340576
5,30565.086490631104
6,29540.667526245117
7,27681.474180221558
8,26329.90009880066
9,25415.133710861206
10,23074.813369750977
11,20401.269632339478
12,19046.746997356415
13,18511.721383571625
14,18285.271357536316
15,18061.344379663467
16,17967.05667924881
17,17653.912322044373
18,17691.875729560852
19,17455.698283195496
20,17544.91100716591
21,17532.098972082138
22,17286.311631441116
23,17124.51066184044
24,16987.9428820014
25,16780.464926302433
26,16911.027188181877
27,16775.690553843975
28,16751.784066408873
29,16682.885697185993
30,16615.074248850346
31,16584.007645517588
32,16639.090956002474
33,16479.147294074297
34,16490.321670264006
35,16372.431747674942
36,16399.999118238688
37,16375.946970164776
38,16331.747551977634
39,16265.725432276726
40,16286.110794395208
41,16268.553083360195
42,16215.18028640747
43,16272.83776089549
44,16189.227300792933
45,16103.557486206293
46,16117.398547962308
47,16170.504915446043
48,16215.744116052985
49,16014.6106492877
50,15915.078955411911
51,16071.103031754494
52,15812.518487229943
53,15933.825616523623
54,15803.832362741232
55,15950.532811701298
56,15823.26683048904
57,15781.956206664443
58,15685.001439899206
59,15774.575415566564
60,15692.054606214166
61,15646.674734085798
62,15506.057941421866
63,15425.23010121286
64,15430.757923409343
65,15547.60697760433
66,15387.209889680147
67,15287.974639832973
68,15260.268202483654
69,15156.820122517645
70,14950.522527679801
71,15040.068800002337
72,14838.666694499552
73,14864.349757656455
74,14792.19008642435
75,14750.985951106995
76,14662.686916790903
77,14661.72284752503
78,14484.554502539337
79,14486.141305219382
80,14479.266862630844
81,14483.569465525448
82,14392.465584803373
83,14397.011579923332
84,14317.943114578724
85,14433.491750359535
86,14358.425486594439
87,14295.383697595447
88,14351.072220724076
89,14220.191641237587
90,14290.561338722706
91,14257.55734698847
92,14223.25268945843
93,14223.201394349337
94,14216.288472251967
95,14126.652560506016
96,14134.512181023136
97,14185.136342966929
98,14092.600892517716
99,14061.15367405489
